time,data
2024/05/28 23:19:24.855295364,"[0, -7, 2, 0, 1, 0, -5, -3]"
2024/05/28 23:19:24.864291885,"[3, -6, -2, -2, 0, 2, -1, -3]"
2024/05/28 23:19:24.864305366,"[1, -4, -6, -3, 5, 7, -2, -4]"
2024/05/28 23:19:24.877857000,"[-8, -2, -3, -36, 5, -4, 1, -2]"
2024/05/28 23:19:24.877870912,"[2, 9, 1, 6, -4, -2, 2, 3]"
2024/05/28 23:19:24.886832609,"[-3, -1, 0, 9, -2, -1, 0, -3]"
2024/05/28 23:19:24.886846507,"[-1, -5, 0, 11, -5, 0, 0, 0]"
2024/05/28 23:19:24.892787153,"[0, 0, -6, 2, 1, -1, 2, -3]"
2024/05/28 23:19:24.892800846,"[-2, -1, -7, 7, 4, -1, 5, 1]"
2024/05/28 23:19:24.901957222,"[1, -3, 2, 14, 0, 1, -4, -1]"
2024/05/28 23:19:24.901970951,"[-1, -1, 3, 4, -2, 3, -15, -3]"
2024/05/28 23:19:24.915319623,"[-3, 2, 3, -12, -5, -3, -3, -2]"
2024/05/28 23:19:24.915338402,"[2, 2, 2, 3, -4, -4, 5, -4]"
2024/05/28 23:19:24.924460850,"[-6, -5, -9, 9, -3, -6, 6, 1]"
2024/05/28 23:19:24.924473884,"[-2, 6, 0, 5, 1, -4, 11, -1]"
2024/05/28 23:19:24.938000501,"[-2, 4, 2, 7, 4, 3, 6, -2]"
2024/05/28 23:19:24.938014414,"[2, -1, 4, 0, 4, 1, 6, -1]"
2024/05/28 23:19:24.946878165,"[5, -6, 6, -4, 0, -5, 1, 1]"
2024/05/28 23:19:24.946891971,"[-2, -2, -3, -1, 2, -3, 8, 0]"
2024/05/28 23:19:24.961664544,"[-2, 7, -6, -3, 1, 3, 2, 1]"
2024/05/28 23:19:24.961678701,"[-3, 2, 0, -4, 1, 6, -1, 1]"
2024/05/28 23:19:24.963301154,"[-1, 3, 1, -6, 1, 2, -2, -2]"
2024/05/28 23:19:24.963315179,"[5, -2, 9, -6, -6, -2, 4, 0]"
2024/05/28 23:19:24.984208517,"[0, -5, 2, -2, -3, -4, 9, -2]"
2024/05/28 23:19:24.984222404,"[-3, -7, -7, -7, 5, -3, 3, 0]"
2024/05/28 23:19:24.985814628,"[1, -4, -7, -7, 2, -3, -1, -1]"
2024/05/28 23:19:24.985828373,"[4, 2, -2, -9, -3, -4, 1, 5]"
2024/05/28 23:19:24.997789577,"[-1, 3, -1, -8, -1, -1, -1, 6]"
2024/05/28 23:19:24.997803317,"[-3, -1, -1, -5, -2, 0, 0, 4]"
2024/05/28 23:19:25.6824826,"[-1, 3, -1, 4, -3, 4, 1, 1]"
2024/05/28 23:19:25.6838534,"[-3, -5, -2, 2, 0, 5, 3, -2]"
2024/05/28 23:19:25.21691283,"[-3, -3, 0, 2, -1, -1, -7, 0]"
